제목,브랜드,방,가격
팸하우스,페퍼스하우스 충무로 5호점 B ROOM,#여성전용 #셰어하우스,100 / 47만원 (2인실)
팸하우스,페퍼스하우스 충무로 4호점 B ROOM,#여성전용 #셰어하우스,100 / 47만원 (2인실)
팸하우스,페퍼스하우스 충무로 3호점 A ROOM,#남성전용 #셰어하우스,100 / 47만원 (2인실)
함께꿈꾸는마을,남산소월02 Room B,#남성전용 #셰어하우스,64 / 32만원 (3인실)
애플트리 쉐어하우스,미아사거리역 1호점 Room C,#여성전용 #셰어하우스,50 / 28만원 (3인실)
팸하우스,동대입구 4호점 Room C,#여성전용 #셰어하우스,100 / 38만원 (4인실)
사람앤하우스,동묘점 Room A,#여성전용 #셰어하우스,112 / 56만원 (1인실)
달램쉐어하우스,성신대고대2호점 성신대고대2호점 중간방,#여성전용 #셰어하우스,800 / 29만원 (1인실)
함께꿈꾸는마을,남산소월03 Room B,#여성전용 #셰어하우스,62 / 31만원 (3인실)
우주,54호점 Room A,#여성전용 #셰어하우스,88 / 36만원 (3인실)
쉐어하우스 신,공덕점 Room B,#여성전용 #셰어하우스,108 / 54만원 (1인실)
함께꿈꾸는마을,남산소월04 Room B,#여성전용 #셰어하우스,66 / 33만원 (3인실)
바다,합정동집 3호 Room A (2인실),#여성전용 #셰어하우스,94 / 47만원 (2인실)
바다,합정동집 2호 Room A (2인실),#여성전용 #셰어하우스,94 / 47만원 (2인실)
일가 쉐어하우스,망원일가2-마포구청 101-1인실,#여성전용 #셰어하우스,150 / 46만원 (1인실)
어울림,망원1호점 2인실 욕실룸,#여성전용 #셰어하우스,100 / 36만원 (2인실)
하우스서울,서교망원점 ROOM-A(2인실),#여성전용 #셰어하우스,70 / 35만원 (2인실)
아미띠에 쉐어하우스,마포점 Room B,#여성전용 #셰어하우스,50 / 42만원 (2인실)
애플트리 쉐어하우스,합정점 Room C,#여성전용 #셰어하우스,50 / 33만원 (2인실)
팸하우스,동대입구 2호점 Room B,#여성전용 #셰어하우스,100 / 36만원 (4인실)
팸하우스,동대입구 1호점 Room C,#남성전용 #셰어하우스,100 / 30만원 (4인실)
STORYHOUSE,코알라 Room 5,#여성전용 #셰어하우스,35 / 35만원 (2인실)
동거동락,32A호 상수역점 A룸,#여성전용 #셰어하우스,126 / 53만원 (1인실)
젤리 쉐어하우스,합정점 Room A,#여성전용 #셰어하우스,600 / 35만원 (2인실)
애플트리 쉐어하우스,미아사거리역 2호점 Room A,#남성전용 #셰어하우스,50 / 36만원 (1인실)
자다,세인트 숙대2호점 E룸,#여성전용 #셰어하우스,104 / 52만원 (1인실)
자다,세인트 숙대1호점 Room A,#여성전용 #셰어하우스,78 / 39만원 (3인실)
Calm&Mood,숙대세번째 19호점 Room102,#여성전용 #셰어하우스,100 / 49만원 (1인실)
일가 쉐어하우스,4호점_합정/망원역점 103호 - 2인실 (2층침대),#여성전용 #셰어하우스,100 / 39만원 (2인실)
포레스트(FOR REST),공덕역점 ALPS,#여성전용 #셰어하우스,94 / 42만원 (2인실)
