업체명,지점명,성별전용,보증금,월세,인실
라다팰리스,사회적주택(개봉동) 201호-1,성별무관,300만원,33만원,1인실
우주,76호점,여성전용,100만원,42만원,2인실
우주,75호점,남성전용,96만원,40만원,2인실
우주,74호점,남성전용,100만원,42만원,2인실
Calm&Mood,온수 17호점,여성전용,100만원,45만원,1인실
동그라미 쉐어하우스,개포점,남성전용,50만원,32만원,1인실
함께꿈꾸는마을,강남대청 Room A,여성전용,66만원,33만원,3인실
부천 이야기쉐어하우스,2호 원종점,성별무관,70만원,35만원,1인실
모니카 하우스,잠실2호점,여성전용,80만원,38만원,2인실
쉐어하우스 잎,부천역점,성별무관,70만원,35만원,1인실
함께꿈꾸는마을,송파문정마을02 ROOM A,여성전용,80만원,40만원,2인실
플래닛디 하우스,플래닛디 하우스 2인실 2층침대,여성전용,60만원,30만원,2인실
공감,부평 굴포천역 2호점,여성전용,70만원,35만원,1인실
공감,부평시장역점,여성전용,70만원,35만원,1인실
로라 쉐어하우스,부평구청역점,여성전용,80만원,26만원,2인실
라떼의꿈 쉐어하우스,부평점,여성전용,80만원,35만원,2인실
로라 쉐어하우스,부평시장역점,여성전용,90만원,39만원,1인실
레몬트리 하우스,간석오거리점,여성전용,50만원,33만원,1인실
잠자리,주안역 : 18호점,여성전용,70만원,35만원,1인실
쉐어하우스 봄,주안 1호점,여성전용,76만원,33만원,2인실
베프 쉐어하우스,주안역점,여성전용,68만원,34만원,1인실
레몬,1호점,여성전용,64만원,32만원,1인실
인타운 하우스,인천대점,여성전용,100만원,30만원,1인실
세계로 하우스,종로부암점,성별무관,45만원,50만원,1인실
세계로 하우스,상명대점,남성전용,100만원,35만원,3인실
블랑 쉐어하우스,홍제점,여성전용,100만원,44만원,1인실
다락,홍오하우스 Room B,남성전용,50만원,31만원,2인실
우주,89호점,여성전용,116만원,50만원,1인실
곰 쉐어하우스,홍제점,여성전용,100만원,42만원,1인실
다락,홍원하우스 Room A,성별무관,50만원,39만원,1인실
쏠 쉐어하우스,연신내점,남성전용,50만원,27만원,2인실
다락,헤븐하우스 조용한 영국풍2인실,성별무관,50만원,27만원,2인실
Calm&Mood,홍제 18호점,여성전용,100만원,33만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
한송 셰어하우스,연신내역점,여성전용,60만원,41만원,1인실
블랑 쉐어하우스,응암점,여성전용,100만원,44만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,200만원,39만원,1인실
코코빌,하우스메이트 Room B,여성전용,68만원,44만원,1인실
미소 쉐어하우스,광화문점,여성전용,100만원,55만원,1인실
노란숲,혜화 국제관점,여성전용,150만원,52만원,1인실
이너프하우스,혜화 6호점,여성전용,100만원,45만원,2인실
플레몬 쉐어하우스,29호점,성별무관,50만원,45만원,1인실
슬리퍼 쉐어하우스,한성대점,여성전용,100만원,50만원,1인실
동거동락,33B호점,여성전용,92만원,38만원,1인실
동거동락,33A호점,남성전용,90만원,37만원,1인실
동거동락,27호점,여성전용,109만원,45만원,2인실
따또 쉐어하우스,연희점,여성전용,80만원,38만원,1인실
플러썸스테이,명지대점,남성전용,100만원,42만원,1인실
CNT홈셰어링,1호점,여성전용,100만원,54만원,1인실
CNT홈셰어링,5호점,여성전용,100만원,50만원,1인실
CNT홈셰어링,2호점,여성전용,100만원,53만원,1인실
CNT홈셰어링,4호점,여성전용,100만원,39만원,2인실
CNT홈셰어링,3호점,여성전용,100만원,52만원,1인실
우주,72호점,남성전용,86만원,35만원,1인실
조이쉐어하우스,대학로점,여성전용,76만원,38만원,1인실
우주,70호점,남성전용,84만원,34만원,1인실
